simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.0857752	18999	274.461
40	1184	47	0	111.865	3.5821e-05	7.30081
80	1184	0	0	92.2485	7.63295e-14	0.029912
120	1184	0	0	92.2993	1.62647e-22	0.000122552
160	1184	0	0	92.239	3.46579e-31	5.02105e-07
200	1184	0	0	109.204	7.3851e-40	57.1908
240	1184	0	0	92.8739	1.57366e-48	0.234315
280	1184	0	0	92.3712	3.35325e-57	0.000960009
320	1184	0	0	91.9785	7.1453e-66	3.93323e-06
360	1184	0	0	108.609	1.52256e-74	449.402
400	1184	0	0	93.1936	3.24437e-83	1.8515
440	1183	0	1	92.6505	6.91329e-92	0.00758575
480	1183	0	0	93.8167	1.47313e-100	3.10794e-05
520	1183	0	0	91.9954	3.13902e-109	1.27335e-07
560	1183	0	0	109.01	6.68882e-118	14.5494
600	1183	0	0	92.4002	1.42529e-126	0.0596102
640	1183	0	0	92.4873	3.0371e-135	0.000244228
680	1183	0	0	92.0877	6.47163e-144	1.00062e-06
720	1183	0	0	108.812	1.37901e-152	114.332
760	1183	0	0	93.4091	2.93848e-161	0.468428
800	1183	0	0	92.3245	6.26149e-170	0.00191919
840	1183	0	0	92.3234	1.33424e-178	7.86306e-06
880	1183	0	0	100.487	2.84307e-187	438.12
920	1183	0	0	101.776	6.05818e-196	3.68099
960	1183	0	0	92.1557	1.29091e-204	0.0150813
1000	1183	0	0	92.2512	2.75075e-213	6.17894e-05
1040	1183	0	0	92.3545	5.86147e-222	2.53156e-07
1080	1183	0	0	108.798	1.249e-230	28.9259
1120	1183	0	0	92.723	2.66143e-239	0.118512
1160	1183	0	0	92.9385	5.67114e-248	0.000485552
1200	1183	0	0	92.8469	1.20844e-256	1.98935e-06
1240	1183	0	0	108.851	2.57502e-265	227.305
1280	1183	0	0	93.2312	5.487e-274	0.931287
1320	1183	0	0	92.6607	1.1692e-282	0.00381556
1360	1183	0	0	94.0507	2.49141e-291	1.56326e-05
1400	1183	0	0	93.0605	5.30883e-300	6.40482e-08
1440	1183	0	0	107.134	0	7.31822
1440.02	1183	0	0	0.136961	0	7.29813
