Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
1280;0;-49.4187;-7.33969;-78.1848;8.61105;2674.59;4.89127;0;0;1.6925e-63;0.01;0;3.69954;102;0;-1-1;-1
1280;1;-37.7993;-29.0659;-80.7382;10.0862;4298.1;5.74505;0;0;1.6925e-63;0.01;0;4.66128;102;0;-1-1;-1
1280;2;-31.6731;-15.5977;-89.8812;8.67531;2734.91;4.93907;0;0;1.6925e-63;0.01;0;3.09063;102;0;-1-1;-1
1280;3;-35.7834;-0.833755;-84.7654;9.02377;3077.89;5.14535;0;0;1.6925e-63;0.01;0;4.18771;102;0;-1-1;-1
1280;4;-36.5922;16.5205;-80.6115;10.1393;4366.3;5.76484;0;0;1.6925e-63;0.01;0;3.92386;102;0;-1-1;-1
1280;5;-24.1972;-39.0216;-82.0758;9.43698;3520.36;5.3697;0;0;1.6925e-63;0.01;0;4.99695;102;0;-1-1;-1
1280;6;-22.2676;-23.134;-80.1543;8.87892;2932.03;5.05128;0;0;1.6925e-63;0.01;0;6.20237;102;0;-1-1;-1
1280;7;-22.0616;-7.79212;-79.9406;8.85683;2910.2;5.04119;0;0;1.6925e-63;0.01;0;6.1478;102;0;-1-1;-1
1280;8;-22.3179;7.72707;-82.0535;8.97015;3023.34;5.10652;0;0;1.6925e-63;0.01;0;4.49636;102;0;-1-1;-1
1280;9;-21.895;25.3826;-84.033;9.21688;3279.75;5.24072;0;0;1.6925e-63;0.01;0;3.16936;102;0;-1-1;-1
1280;10;-10.962;-50.5319;-83.763;10.5118;4865.36;5.97671;0;0;1.6925e-63;0.01;0;3.54548;102;0;-1-1;-1
1280;11;-9.1824;-32.4692;-82.7828;9.35298;3427.19;5.32344;0;0;1.6925e-63;0.01;0;3.83076;102;0;-1-1;-1
1280;12;-8.22097;-16.6001;-81.0185;8.97131;3024.52;5.10865;0;0;1.6925e-63;0.01;0;4.57871;102;0;-1-1;-1
1280;13;-7.54448;-0.560554;-85.3548;10.3382;4628.38;5.88016;0;0;1.6925e-63;0.01;0;3.56535;102;0;-1-1;-1
1280;14;-7.58675;16.4429;-79.3095;10.3298;4616.99;5.8722;0;0;1.6925e-63;0.01;0;4.57739;102;0;-1-1;-1
1280;15;-6.87461;31.8698;-88.2762;9.72022;3846.95;5.52431;0;0;1.6925e-63;0.01;0;3.06313;102;0;-1-1;-1
1280;16;4.68387;-42.0338;-79.2749;10.2405;4498.31;5.83208;0;0;1.6925e-63;0.01;0;4.50644;102;0;-1-1;-1
1280;17;12.0648;-25.1488;-82.8052;10.246;4505.54;5.81254;0;0;1.6925e-63;0.01;0;3.83256;102;0;-1-1;-1
1280;18;17.5941;-8.8227;-80.6913;8.89467;2947.67;5.07582;0;0;1.6925e-63;0.01;0;4.50565;102;0;-1-1;-1
1280;19;18.8159;11.5231;-90.1831;8.84384;2897.42;5.02787;0;0;1.6925e-63;0.01;0;2.48809;102;0;-1-1;-1
1280;20;20.9073;27.2416;-87.9978;8.99515;3048.69;5.12677;0;0;1.6925e-63;0.01;0;5.12831;102;0;-1-1;-1
1280;21;10.3796;39.7852;-91.3045;10.3103;4590.9;5.85075;0;0;1.6925e-63;0.01;0;3.56485;102;0;-1-1;-1
1280;22;28.017;-52.4295;-80.5205;9.53168;3627.41;5.42137;0;0;1.6925e-63;0.01;0;3.71081;102;0;-1-1;-1
1280;23;27.3703;-35.0029;-82.479;10.227;4480.63;5.8199;0;0;1.6925e-63;0.01;0;4.22304;102;0;-1-1;-1
1280;24;27.7477;-19.9048;-80.8141;8.68446;2743.58;4.93511;0;0;1.6925e-63;0.01;0;4.62994;102;0;-1-1;-1
1280;25;28.6168;2.10393;-81.9627;8.68266;2741.87;4.9411;0;0;1.6925e-63;0.01;0;5.20928;102;0;-1-1;-1
1280;26;32.1951;17.099;-84.7831;9.04853;3103.3;5.14025;0;0;1.6925e-63;0.01;0;6.07389;102;0;-1-1;-1
1280;27;27.9623;42.2458;-86.2657;9.99472;4182.16;5.69496;0;0;1.6925e-63;0.01;0;4.91881;102;0;-1-1;-1
1280;28;43.2143;-43.2417;-81.1992;10.1523;4383.11;5.77832;0;0;1.6925e-63;0.01;0;3.61918;102;0;-1-1;-1
1280;29;41.3332;-26.6997;-80.065;8.65779;2718.38;4.91053;0;0;1.6925e-63;0.01;0;4.61758;102;0;-1-1;-1
1280;30;41.0544;-9.67064;-83.189;10.3649;4664.22;5.91335;0;0;1.6925e-63;0.01;0;4.11367;102;0;-1-1;-1
1280;31;42.5357;6.12603;-91.7622;10.2954;4571.12;5.86438;0;0;1.6925e-63;0.01;0;2.39603;102;0;-1-1;-1
1280;32;41.3599;30.9566;-88.6695;10.1994;4444.42;5.79421;0;0;1.6925e-63;0.01;0;3.11671;102;0;-1-1;-1
1280;33;-74.1839;-16.0664;-66.2212;9.49825;3589.38;5.40044;0;0;1.6925e-63;0.01;0;2.60896;102;0;-1-1;-1
1280;34;-62.2489;-42.1668;-64.9863;10.0206;4214.78;5.66957;0;0;1.6925e-63;0.01;0;3.02616;102;0;-1-1;-1
1280;35;-60.1157;-24.8323;-65.9271;9.3967;3475.48;5.35629;0;0;1.6925e-63;0.01;0;4.87452;102;0;-1-1;-1
1280;36;-60.2531;-8.58238;-66.5088;8.55559;2623.24;4.86487;0;0;1.6925e-63;0.01;0;4.95656;102;0;-1-1;-1
1280;37;-57.9758;6.28692;-74.6828;10.4405;4767.11;5.92411;0;0;1.6925e-63;0.01;0;2.49194;102;0;-1-1;-1
1280;38;-56.0229;33.901;-77.1898;8.62901;2691.36;4.91284;0;0;1.6925e-63;0.01;0;1.96378;102;0;-1-1;-1
1280;39;-58.6308;44.0624;-65.2338;9.56979;3671.1;5.4301;0;0;1.6925e-63;0.01;0;3.97296;102;0;-1-1;-1
1280;40;-38.8808;-46.1632;-77.5412;9.16975;3229.69;5.22876;0;0;1.6925e-63;0.01;0;3.57485;102;0;-1-1;-1
1280;41;-46.7436;-35.202;-67.1077;9.61215;3720.06;5.45874;0;0;1.6925e-63;0.01;0;4.9403;102;0;-1-1;-1
1280;42;-36.1011;-13.4133;-76.1577;8.37293;2458.79;4.76628;0;0;2.11563e-63;0.01;0;5.96568;102;0;-1-1;-1
1280;43;-41.4449;3.55569;-71.0736;8.52221;2592.66;4.8471;0;0;1.6925e-63;0.01;0;4.89057;102;0;-1-1;-1
1280;44;-47.7244;17.7003;-67.7808;8.64417;2705.57;4.92064;0;0;1.6925e-63;0.01;0;4.62276;102;0;-1-1;-1
1280;45;-45.1743;33.4298;-65.0313;9.56531;3665.94;5.44546;0;0;1.6925e-63;0.01;0;6.0231;102;0;-1-1;-1
1280;46;-43.4119;49.6862;-65.4834;8.65454;2715.31;4.92271;0;0;1.6925e-63;0.01;0;4.21434;102;0;-1-1;-1
1280;47;-24.5575;-51.6512;-72.7243;8.80868;2863;5.0092;0;0;1.6925e-63;0.01;0;5.53198;102;0;-1-1;-1
1280;48;-30.9062;-38.1751;-68.0338;8.36384;2450.79;4.74953;0;0;1.6925e-63;0.01;0;6.6575;102;0;-1-1;-1
1280;49;-30.1735;-23.4;-67.0198;8.92428;2977.2;5.07806;0;0;1.6925e-63;0.01;0;6.72252;102;0;-1-1;-1
1280;50;-28.8368;-5.15133;-66.2178;8.6387;2700.43;4.90053;0;0;1.6925e-63;0.01;0;5.27121;102;0;-1-1;-1
1280;51;-28.3574;11.1973;-66.9667;9.41245;3492.98;5.36374;0;0;1.6925e-63;0.01;0;5.64021;102;0;-1-1;-1
